STA_NO,Area_NO,INFO_DATE,FCST_Rainfall,Q_IN
RFETS,09,2024-01-17 02:00:00.000,0.02427745664739885,17.04096
RFETS,09,2024-01-17 03:00:00.000,0.0,13.05175
RFETS,09,2024-01-17 04:00:00.000,0.02427745664739885,15.25907
RFETS,09,2024-01-17 05:00:00.000,0.09017341040462414,11.3331
RFETS,09,2024-01-17 06:00:00.000,0.060115606936416176,10.43634
RFETS,09,2024-01-17 07:00:00.000,0.0,6.441718
RFETS,09,2024-01-17 08:00:00.000,0.02427745664739885,10.22322
RFETS,09,2024-01-17 09:00:00.000,0.04335260115606937,6.153333
RFETS,09,2024-01-17 10:00:00.000,0.0,6.153333
RFETS,09,2024-01-17 11:00:00.000,0.0,6.153333
RFETS,09,2024-01-17 12:00:00.000,0.0,3.076667
RFETS,09,2024-01-17 13:00:00.000,0.0,6.157778
RFETS,09,2024-01-17 14:00:00.000,0.0,6.157778
RFETS,09,2024-01-17 15:00:00.000,0.0,6.157778
RFETS,09,2024-01-17 16:00:00.000,0.0,6.18839
RFETS,09,2024-01-17 17:00:00.000,0.0,30.07774
RFETS,09,2024-01-17 18:00:00.000,0.0,11.74794
RFETS,09,2024-01-17 19:00:00.000,0.0,33.18238
RFETS,09,2024-01-17 20:00:00.000,0.0,16.54428
RFETS,09,2024-01-17 21:00:00.000,0.0,33.14123
RFETS,09,2024-01-17 22:00:00.000,0.0,18.28411
RFETS,09,2024-01-17 23:00:00.000,0.0,33.14647
RFETS,09,2024-01-18 00:00:00.000,0.0,17.59763
RFETS,09,2024-01-18 01:00:00.000,0.0,15.58425
RFETS,09,2024-01-18 02:00:00.000,0.0,17.79576
RFETS,09,2024-01-18 03:00:00.000,0.0,13.85804
RFETS,09,2024-01-18 04:00:00.000,0.0,12.99407
RFETS,09,2024-01-18 05:00:00.000,0.0,9.065606
RFETS,09,2024-01-18 06:00:00.000,0.0,11.24061
RFETS,09,2024-01-18 07:00:00.000,0.0,7.300391
RFETS,09,2024-01-18 08:00:00.000,0.0,7.456797
RFETS,09,2024-01-18 09:00:00.000,0.0,6.148889
RFETS,09,2024-01-18 10:00:00.000,0.0,3.076667
RFETS,09,2024-01-18 11:00:00.000,0.0,3.076667
RFETS,09,2024-01-18 12:00:00.000,0.0,6.151111
RFETS,09,2024-01-18 13:00:00.000,0.0,6.151111
RFETS,09,2024-01-18 14:00:00.000,0.0,3.074445
RFETS,09,2024-01-18 16:00:00.000,0.0,6.245737
RFETS,09,2024-01-18 17:00:00.000,0.0,30.67226
RFETS,09,2024-01-18 18:00:00.000,0.0,11.8006
RFETS,09,2024-01-18 19:00:00.000,0.0,32.77488
RFETS,09,2024-01-18 20:00:00.000,0.0,13.43646
RFETS,09,2024-01-18 21:00:00.000,0.0,33.00524
RFETS,09,2024-01-18 22:00:00.000,0.0,18.20798
RFETS,09,2024-01-18 23:00:00.000,0.0,19.0505
RFETS,09,2024-01-19 00:00:00.000,0.0,18.34174
RFETS,09,2024-01-19 01:00:00.000,0.0,13.69312
RFETS,09,2024-01-19 02:00:00.000,0.0,33.45468
RFETS,09,2024-01-19 03:00:00.000,0.0,13.06517
